year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,اكتوبر,جده,حي/البحيرات,5963153,9481.84,11,معتمدة,,
2018,نوفمبر,جده,حي/البحيرات,8880000,15236.460000000001,18,معتمدة,,
2018,ديسمبر,جده,حي/البحيرات,13447012,22824.95,27,معتمدة,,
2018,مارس,جده,حي/البخارية,100000,69.84,1,معتمدة,,
2018,اوغسطس,جده,حي/البخارية,340000,112.86,1,معتمدة,,
2018,اكتوبر,جده,حي/البدو,845000,761.0,2,معتمدة,,
2018,يناير,جده,حي/البساتين,16150000,4045.5,7,معتمدة,,
2018,فبراير,جده,حي/البساتين,14744922,3728.55,7,معتمدة,,
2018,مارس,جده,حي/البساتين,17129916,10591.54,7,معتمدة,,
2018,ابريل,جده,حي/البساتين,14591500,3170.461,6,معتمدة,,
2018,مايو,جده,حي/البساتين,26092769,6461.030000000001,13,معتمدة,,
2018,يونيو,جده,حي/البساتين,13663811,3333.41,4,معتمدة,,
2018,يوليو,جده,حي/البساتين,18143758,4419.03,7,معتمدة,,
2018,اوغسطس,جده,حي/البساتين,12107058,4197.0,8,معتمدة,,
2018,سبتمبر,جده,حي/البساتين,4973389,1290.63,4,معتمدة,,
2018,اكتوبر,جده,حي/البساتين,16012601,6752.83,13,معتمدة,,
2018,نوفمبر,جده,حي/البساتين,21503060,5899.64,9,معتمدة,,
2018,ديسمبر,جده,حي/البساتين,9715669,3253.32,7,معتمدة,,
2018,يناير,جده,حي/البشائر,1000000,900.0,1,معتمدة,,
2018,فبراير,جده,حي/البشائر,1087500,2775.0,4,معتمدة,,
2018,مارس,جده,حي/البشائر,350000,7495.5,12,معتمدة,,
2018,ابريل,جده,حي/البشائر,10450000,38101.31,61,معتمدة,,
2018,مايو,جده,حي/البشائر,11163000,35650.0,43,معتمدة,,
2018,يونيو,جده,حي/البشائر,590000,900.0,1,معتمدة,,
2018,يوليو,جده,حي/البشائر,3424378,16176.5,20,معتمدة,,
2018,اوغسطس,جده,حي/البشائر,3795000,8468.01,11,معتمدة,,
2018,سبتمبر,جده,حي/البشائر,4970209,12830.75,18,معتمدة,,
2018,اكتوبر,جده,حي/البشائر,3710000,4901.5,6,معتمدة,,
2018,نوفمبر,جده,حي/البشائر,13598382,68243.81,101,معتمدة,,
2018,ديسمبر,جده,حي/البشائر,28054999,107516.72,167,معتمدة,,
2018,يناير,جده,حي/البغدادية,1000000,2533.5,1,معتمدة,,
2018,فبراير,جده,حي/البغدادية,500000,209.93,1,معتمدة,,
2018,مارس,جده,حي/البغدادية,2000000,625.0,1,معتمدة,,
2018,ابريل,جده,حي/البغدادية,500000,225.83,1,معتمدة,,
2018,يوليو,جده,حي/البغدادية,120000,86.0,1,معتمدة,,
2018,سبتمبر,جده,حي/البغدادية,450000,338.63,2,معتمدة,,
2018,اكتوبر,جده,حي/البغدادية,3000000,1433.6399999999999,2,معتمدة,,
2018,نوفمبر,جده,حي/البغدادية,11580000,5930.72,2,معتمدة,,
2018,مارس,جده,حي/البغدادية الشرقية,5500000,475.25,1,معتمدة,,
2018,مايو,جده,حي/البغدادية الشرقية,7500000,2683.78,1,معتمدة,,
2018,نوفمبر,جده,حي/البغدادية الشرقية,1500000,760.37,1,معتمدة,,
2018,ديسمبر,جده,حي/البغدادية الشرقية,2000000,894.25,2,معتمدة,,
2018,يناير,جده,حي/البغدادية الغربية,2701410,607.74,5,معتمدة,,
2018,فبراير,جده,حي/البغدادية الغربية,4955000,1723.72,8,معتمدة,,
2018,مارس,جده,حي/البغدادية الغربية,13926428,5472.779999999999,39,معتمدة,,
2018,ابريل,جده,حي/البغدادية الغربية,22035100,2779.85,9,معتمدة,,
2018,مايو,جده,حي/البغدادية الغربية,8964390,2434.7599999999998,11,معتمدة,,
2018,يونيو,جده,حي/البغدادية الغربية,1150000,263.2,2,معتمدة,,
2018,يوليو,جده,حي/البغدادية الغربية,24410000,9147.520000000002,6,معتمدة,,
2018,اوغسطس,جده,حي/البغدادية الغربية,39264149,11369.61,9,معتمدة,,
2018,سبتمبر,جده,حي/البغدادية الغربية,8750000,1694.28,5,معتمدة,,
2018,اكتوبر,جده,حي/البغدادية الغربية,2741000,646.9,5,معتمدة,,
2018,نوفمبر,جده,حي/البغدادية الغربية,3360000,964.43,6,معتمدة,,
2018,ديسمبر,جده,حي/البغدادية الغربية,3267852,589.07,5,معتمدة,,
2018,فبراير,جده,حي/البلد,1000000,208.0,1,معتمدة,,
2018,ابريل,جده,حي/البلد,102118603,1344.0,1,معتمدة,,
2018,مايو,جده,حي/البلد,400000,117.47,1,معتمدة,,
2018,يوليو,جده,حي/البلد,50000,100.0,1,معتمدة,,
2018,اكتوبر,جده,حي/البلد,100000,185.0,1,معتمدة,,
2018,نوفمبر,جده,حي/البلد,54517954,2106.38,3,معتمدة,,
2018,يناير,جده,حي/البوادى,29602497,5458.49,11,معتمدة,,
2018,فبراير,جده,حي/البوادى,11090000,3248.63,7,معتمدة,,
2018,مارس,جده,حي/البوادى,3010000,1600.1599999999999,4,معتمدة,,
2018,ابريل,جده,حي/البوادى,25983495,3635.0,6,معتمدة,,
2018,مايو,جده,حي/البوادى,2450000,1516.1799999999998,4,معتمدة,,
2018,يونيو,جده,حي/البوادى,5975000,1621.35,4,معتمدة,,
2018,يوليو,جده,حي/البوادى,19025000,3580.0,7,معتمدة,,
2018,اوغسطس,جده,حي/البوادى,10130000,2911.5,5,معتمدة,,
2018,سبتمبر,جده,حي/البوادى,5300000,2077.5,4,معتمدة,,
2018,اكتوبر,جده,حي/البوادى,65407021,11156.55,7,معتمدة,,
2018,نوفمبر,جده,حي/البوادى,5702917,2394.4,5,معتمدة,,
2018,ديسمبر,جده,حي/البوادى,19271714,4977.9400000000005,12,معتمدة,,
2018,اوغسطس,جده,حي/التوفيق,100000,670.5,1,معتمدة,,
2018,مارس,جده,حي/الثعالبه,182000,180.8,2,معتمدة,,
2018,مايو,جده,حي/الثعالبه,300000,98.7,1,معتمدة,,
2018,يوليو,جده,حي/الثعالبه,960000,310.02,3,معتمدة,,
2018,اوغسطس,جده,حي/الثعالبه,650000,495.0,2,معتمدة,,
2018,اكتوبر,جده,حي/الثعالبه,7100000,2477.79,2,معتمدة,,
2018,يناير,جده,حي/الثغر,2600000,2152.01,6,معتمدة,,
2018,فبراير,جده,حي/الثغر,254545,625.0,1,معتمدة,,
2018,مارس,جده,حي/الثغر,1330000,967.8,3,معتمدة,,
2018,مايو,جده,حي/الثغر,2230000,593.13,2,معتمدة,,
2018,يونيو,جده,حي/الثغر,700000,480.0,1,معتمدة,,
2018,يوليو,جده,حي/الثغر,690000,198.59,1,معتمدة,,
2018,اوغسطس,جده,حي/الثغر,300000,193.45,1,معتمدة,,
2018,سبتمبر,جده,حي/الثغر,1300000,321.48,1,معتمدة,,
2018,اكتوبر,جده,حي/الثغر,2450000,879.17,3,معتمدة,,
2018,نوفمبر,جده,حي/الثغر,5806000,4219.0,3,معتمدة,,
2018,ديسمبر,جده,حي/الثغر,18270000,4955.9800000000005,8,معتمدة,,
2018,يناير,جده,حي/الجامعة,3400000,815.9200000000001,3,معتمدة,,
2018,فبراير,جده,حي/الجامعة,18800000,4608.89,7,معتمدة,,
2018,مارس,جده,حي/الجامعة,16548000,5101.7,8,معتمدة,,
2018,ابريل,جده,حي/الجامعة,4138075,1281.0900000000001,4,معتمدة,,
2018,مايو,جده,حي/الجامعة,645000,1158.87,5,معتمدة,,
2018,يونيو,جده,حي/الجامعة,360000,437.7,2,معتمدة,,
2018,يوليو,جده,حي/الجامعة,1395000,1382.08,3,معتمدة,,
2018,اوغسطس,جده,حي/الجامعة,300000,328.66,1,معتمدة,,
2018,سبتمبر,جده,حي/الجامعة,2150000,2039.74,5,معتمدة,,
2018,اكتوبر,جده,حي/الجامعة,41865000,8195.58,5,معتمدة,,
2018,نوفمبر,جده,حي/الجامعة,1872000,1781.0500000000002,6,معتمدة,,
2018,ديسمبر,جده,حي/الجامعة,2520000,1093.8500000000001,6,معتمدة,,
2018,يناير,جده,حي/الجامعيين,1505000,11838.570000000002,10,معتمدة,,
2018,فبراير,جده,حي/الجامعيين,905000,4705.14,4,معتمدة,,
2018,مارس,جده,حي/الجامعيين,1604000,10800.0,9,معتمدة,,
2018,ابريل,جده,حي/الجامعيين,555000,5412.7,5,معتمدة,,
2018,مايو,جده,حي/الجامعيين,1365000,7200.0,6,معتمدة,,
2018,يونيو,جده,حي/الجامعيين,520000,3600.0,3,معتمدة,,
2018,يوليو,جده,حي/الجامعيين,446000,3505.1400000000003,3,معتمدة,,
2018,اوغسطس,جده,حي/الجامعيين,470000,3600.0,3,معتمدة,,
2018,سبتمبر,جده,حي/الجامعيين,1935000,11792.86,10,معتمدة,,
2018,اكتوبر,جده,حي/الجامعيين,1555000,9587.32,8,معتمدة,,
2018,نوفمبر,جده,حي/الجامعيين,2529000,13117.0,12,معتمدة,,
2018,ديسمبر,جده,حي/الجامعيين,1815000,9789.26,8,معتمدة,,
2018,يناير,جده,حي/الجوهرة,4050000,3000.0,3,معتمدة,,
2018,اوغسطس,جده,حي/الجوهرة,3512000,3600.0,2,معتمدة,,
2018,اكتوبر,جده,حي/الجوهرة,1560000,1175.0,2,معتمدة,,
2018,نوفمبر,جده,حي/الجوهرة,11245000,3605.23,3,معتمدة,,
2018,ديسمبر,جده,حي/الجوهرة,1700000,1320.0,1,معتمدة,,
2018,يناير,جده,حي/الحمدانية,52676854,21892.08,39,معتمدة,,
2018,فبراير,جده,حي/الحمدانية,30323540,15005.139999999998,32,معتمدة,,
2018,مارس,جده,حي/الحمدانية,34339142,14301.100000000004,30,معتمدة,,
2018,ابريل,جده,حي/الحمدانية,24587571,12041.71,27,معتمدة,,
2018,مايو,جده,حي/الحمدانية,27718078,10552.609999999999,20,معتمدة,,
2018,يونيو,جده,حي/الحمدانية,10372270,4882.59,11,معتمدة,,
2018,يوليو,جده,حي/الحمدانية,36418678,20246.710000000003,40,معتمدة,,
2018,اوغسطس,جده,حي/الحمدانية,18462990,6361.91,15,معتمدة,,
2018,سبتمبر,جده,حي/الحمدانية,29419835,10076.06,23,معتمدة,,
2018,اكتوبر,جده,حي/الحمدانية,42247777,26720.91,50,معتمدة,,
2018,نوفمبر,جده,حي/الحمدانية,29551752,17736.33,31,معتمدة,,
2018,ديسمبر,جده,حي/الحمدانية,39412159,20796.91,40,معتمدة,,
2018,يناير,جده,حي/الحمراء,52690000,11899.029999999999,16,معتمدة,,
2018,فبراير,جده,حي/الحمراء,10336666,2059.92,5,معتمدة,,
2018,مارس,جده,حي/الحمراء,18245670,2282.25,4,معتمدة,,
2018,ابريل,جده,حي/الحمراء,37210000,8318.52,10,معتمدة,,
2018,مايو,جده,حي/الحمراء,5865000,1232.065,4,معتمدة,,
2018,يونيو,جده,حي/الحمراء,625000,115.24,1,معتمدة,,
2018,يوليو,جده,حي/الحمراء,2411046,537.9499999999999,4,معتمدة,,
2018,اوغسطس,جده,حي/الحمراء,25750000,2318.89,5,معتمدة,,
2018,سبتمبر,جده,حي/الحمراء,219143326,15908.805,13,معتمدة,,
2018,اكتوبر,جده,حي/الحمراء,5662500,1042.3600000000001,3,معتمدة,,
2018,نوفمبر,جده,حي/الحمراء,21700000,4029.4100000000003,6,معتمدة,,
2018,ديسمبر,جده,حي/الحمراء,3050000,1680.3,4,معتمدة,,
2018,يناير,جده,حي/الخالدية,1000000,375.0,1,معتمدة,,
2018,فبراير,جده,حي/الخالدية,7300000,931.97,2,معتمدة,,
2018,مارس,جده,حي/الخالدية,6500000,774.0,2,معتمدة,,
2018,ابريل,جده,حي/الخالدية,24100000,8762.0,3,معتمدة,,
2018,مايو,جده,حي/الخالدية,22295638,3777.0,4,معتمدة,,
2018,يوليو,جده,حي/الخالدية,54770655,64660.89,6,معتمدة,,
2018,اوغسطس,جده,حي/الخالدية,4425000,480.0,1,معتمدة,,
2018,سبتمبر,جده,حي/الخالدية,8950000,1270.5,2,معتمدة,,
2018,اكتوبر,جده,حي/الخالدية,19758913,3327.5,8,معتمدة,,
2018,نوفمبر,جده,حي/الخالدية,45075000,3600.5,7,معتمدة,,
2018,ديسمبر,جده,حي/الخالدية,12166307,1937.0,4,معتمدة,,
2018,يناير,جده,حي/الخليج,1721000,16230.8,7,معتمدة,,
2018,فبراير,جده,حي/الخليج,2310000,9900.0,11,معتمدة,,
2018,مارس,جده,حي/الخليج,5619250,17862.5,20,معتمدة,,
2018,ابريل,جده,حي/الخليج,5275000,17086.5,20,معتمدة,,
2018,مايو,جده,حي/الخليج,2095000,8035.5,9,معتمدة,,
2018,يونيو,جده,حي/الخليج,1693000,3540.0,4,معتمدة,,
2018,يوليو,جده,حي/الخليج,3235000,8439.69,9,معتمدة,,
2018,اوغسطس,جده,حي/الخليج,2600274,4495.5,5,معتمدة,,
2018,سبتمبر,جده,حي/الخليج,2614278,10200.0,14,معتمدة,,
2018,اكتوبر,جده,حي/الخليج,7338146,22452.0,25,معتمدة,,
2018,نوفمبر,جده,حي/الخليج,9811125,31230.0,34,معتمدة,,
2018,ديسمبر,جده,حي/الخليج,17981000,49314.5,47,معتمدة,,
2018,يناير,جده,حي/الخمرة,6348000,5187.5,13,معتمدة,,
2018,فبراير,جده,حي/الخمرة,4590000,4172.07,6,معتمدة,,
2018,مارس,جده,حي/الخمرة,11004000,7200.0,17,معتمدة,,
2018,ابريل,جده,حي/الخمرة,2220000,3600.0,7,معتمدة,,
2018,مايو,جده,حي/الخمرة,4377157,4437.5,10,معتمدة,,
2018,يونيو,جده,حي/الخمرة,938000,2000.0,5,معتمدة,,
2018,يوليو,جده,حي/الخمرة,7271701,30601.59,10,معتمدة,,
2018,اوغسطس,جده,حي/الخمرة,1525000,1600.0,3,معتمدة,,
2018,سبتمبر,جده,حي/الخمرة,2745000,3975.0,10,معتمدة,,
2018,اكتوبر,جده,حي/الخمرة,5442266,6400.0,14,معتمدة,,
2018,نوفمبر,جده,حي/الخمرة,6910004,8800.0,16,معتمدة,,
2018,ديسمبر,جده,حي/الخمرة,3355000,5200.0,12,معتمدة,,
2018,اوغسطس,جده,حي/الرابية,9900000,73968.23,1,معتمدة,,
2018,سبتمبر,جده,حي/الرابية,2000000,28592.97,1,معتمدة,,
2018,يناير,جده,حي/الربوه,9639349,2704.5899999999997,10,معتمدة,,
2018,فبراير,جده,حي/الربوه,19600850,5869.709999999998,59,معتمدة,,
2018,مارس,جده,حي/الربوه,10581088,3702.91,11,معتمدة,,
2018,ابريل,جده,حي/الربوه,14959815,5634.209999999999,17,معتمدة,,
2018,مايو,جده,حي/الربوه,7631333,2582.8700000000003,15,معتمدة,,
2018,يونيو,جده,حي/الربوه,721865,420.64000000000004,3,معتمدة,,
2018,يوليو,جده,حي/الربوه,7875000,3310.62,14,معتمدة,,
2018,اوغسطس,جده,حي/الربوه,4690908,2317.8699999999994,13,معتمدة,,
2018,سبتمبر,جده,حي/الربوه,6733186,4044.069999999999,25,معتمدة,,
2018,اكتوبر,جده,حي/الربوه,22709099,6502.16,13,معتمدة,,
2018,نوفمبر,جده,حي/الربوه,58067211,11120.824999999999,10,معتمدة,,
2018,ديسمبر,جده,حي/الربوه,42548254,16363.0787,33,معتمدة,,
2018,يناير,جده,حي/الرحاب,850000,1437.65,2,معتمدة,,
2018,فبراير,جده,حي/الرحاب,2000000,1230.0,1,معتمدة,,
2018,مارس,جده,حي/الرحاب,7395000,2067.76,4,معتمدة,,
2018,ابريل,جده,حي/الرحاب,11610000,5272.08,12,معتمدة,,
2018,مايو,جده,حي/الرحاب,17271625,4987.92,8,معتمدة,,
2018,يونيو,جده,حي/الرحاب,6300000,1500.0,1,معتمدة,,
2018,يوليو,جده,حي/الرحاب,3885000,946.73,4,معتمدة,,
